Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,0.191406,0.185547,0.185547,0.134605,70400
1980-03-18,0.000000,0.183594,0.177734,0.183594,0.133188,230400
1980-03-19,0.000000,0.179688,0.175781,0.179688,0.130354,153600
1980-03-20,0.000000,0.179688,0.175781,0.177734,0.128937,70400
1980-03-21,0.177734,0.177734,0.177734,0.177734,0.128937,0
1980-03-24,0.000000,0.177734,0.169922,0.175781,0.127520,179200
1980-03-25,0.000000,0.169922,0.164063,0.167969,0.121852,76800
1980-03-26,0.000000,0.164063,0.158203,0.158203,0.114768,198400
1980-03-27,0.000000,0.156250,0.140625,0.144531,0.104850,473600
1980-03-28,0.000000,0.164063,0.150391,0.164063,0.119019,268800
1980-03-31,0.000000,0.169922,0.164063,0.166016,0.120436,57600
1980-04-01,0.000000,0.177734,0.169922,0.177734,0.128937,320000
1980-04-02,0.000000,0.181641,0.177734,0.179688,0.130354,147200
1980-04-03,0.000000,0.181641,0.181641,0.181641,0.131771,6400
1980-04-07,0.000000,0.181641,0.175781,0.175781,0.127520,51200
1980-04-08,0.000000,0.175781,0.169922,0.169922,0.123269,121600
1980-04-09,0.000000,0.171875,0.169922,0.171875,0.124686,89600
1980-04-10,0.000000,0.179688,0.175781,0.177734,0.128937,44800
1980-04-11,0.000000,0.187500,0.177734,0.177734,0.128937,134400
1980-04-14,0.177734,0.177734,0.177734,0.177734,0.128937,0
1980-04-15,0.000000,0.179688,0.179688,0.179688,0.130354,128000
1980-04-16,0.000000,0.179688,0.175781,0.175781,0.127520,38400
1980-04-17,0.000000,0.173828,0.171875,0.173828,0.126103,140800
1980-04-18,0.000000,0.175781,0.173828,0.173828,0.126103,38400
1980-04-21,0.000000,0.171875,0.171875,0.171875,0.124686,6400
1980-04-22,0.000000,0.171875,0.166016,0.171875,0.124686,96000
1980-04-23,0.000000,0.171875,0.171875,0.171875,0.124686,38400
1980-04-24,0.000000,0.179688,0.175781,0.179688,0.130354,89600
1980-04-25,0.000000,0.179688,0.179688,0.179688,0.130354,6400
1980-04-28,0.000000,0.179688,0.179688,0.179688,0.130354,89600
1980-04-29,0.000000,0.181641,0.181641,0.181641,0.131771,19200
1980-04-30,0.000000,0.181641,0.181641,0.181641,0.131771,6400
1980-05-01,0.000000,0.181641,0.181641,0.181641,0.131771,12800
1980-05-02,0.000000,0.185547,0.181641,0.183594,0.133188,102400
1980-05-05,0.000000,0.187500,0.187500,0.187500,0.136021,64000
1980-05-06,0.000000,0.193359,0.191406,0.193359,0.140272,19200
1980-05-07,0.000000,0.218750,0.193359,0.218750,0.158692,390400
1980-05-08,0.000000,0.226563,0.212891,0.216797,0.157275,268800
1980-05-09,0.000000,0.216797,0.212891,0.212891,0.154441,12800
1980-05-12,0.000000,0.210938,0.207031,0.208984,0.151607,89600
1980-05-13,0.000000,0.218750,0.205078,0.218750,0.158692,742400
1980-05-14,0.000000,0.218750,0.216797,0.216797,0.157275,12800
1980-05-15,0.000000,0.218750,0.212891,0.212891,0.154441,115200
1980-05-16,0.000000,0.216797,0.214844,0.216797,0.157275,19200
1980-05-19,0.000000,0.214844,0.212891,0.214844,0.155858,102400
1980-05-20,0.000000,0.212891,0.210938,0.210938,0.153024,32000
